fishID;otosize;age;size
14524;1.32701;1;52.5032825
14524;1.95;2;85.6775
14524;2.3076;3;104.7197
14524;2.53577;4;116.8697525
14522;1.37846;1;55.242995
14522;2.02924;2;89.89703
14522;2.36477;3;107.7640025
14517;1.29878;1;51.000035
14517;1.8783;2;81.859475
14517;2.27748;3;103.11581
14517;2.49933;4;114.9293225
14515;1.29305;1;50.6949125
14515;1.87186;2;81.516545
14515;2.31753;3;105.2484725
14515;2.60311;4;120.4556075
14514;1.33235;1;52.7876375
14514;1.99031;2;87.8240075
14514;2.2416;3;101.2052
14511;1.23607;1;47.6607275
14511;1.8643;2;81.113975
14511;2.24842;3;101.568365
14511;2.57168;4;118.78196
14506;1.50546;1;62.005745
14506;2.14215;2;95.9094875
14506;2.42311;3;110.8706075
14506;2.67483;4;124.2746975
10931;1.36236;1;54.38567
10931;2.07208;2;92.17826
10931;2.56261;3;118.2989825
10878;1.18;1;44.675
10878;2.03201;2;90.0445325
10878;2.49975;3;114.9516875
10854;1.13621;1;42.3431825
10854;1.94212;2;85.25789
10854;2.37137;3;108.1154525
10853;1.19735;1;45.5988875
10853;1.90692;2;83.38349
10853;2.43952;3;111.74444
10840;1.18727;1;45.0621275
10840;1.95286;2;85.829795
10840;2.35936;3;107.47592
10820;1.28025;1;50.0133125
10820;2.28786;2;103.668545
10820;2.6779;3;124.438175
10747;1.23576;1;47.64422
10747;1.87983;2;81.9409475
10747;2.30273;3;104.4603725
6981;1.61922;1;68.063465
6981;2.5069;2;115.332425
6981;2.85623;3;133.9342475
6979;1.1583;1;43.519475
6979;2.08573;2;92.9051225
6979;2.45558;3;112.599635
6978;1.48706;1;61.025945
6978;1.99013;2;87.8144225
6978;2.3009;3;104.362925
6975;1.18959;1;45.1856675
6975;1.98211;2;87.3873575
6975;2.32217;3;105.4955525
6974;1.20529;1;46.0216925
6974;2.10837;2;94.1107025
6974;2.52153;3;116.1114725
6973;1.18534;1;44.959355
6973;2.06;2;91.535
6973;2.38089;3;108.6223925
5803;1.46252;1;59.71919
5803;2.13359;2;95.4536675
5803;2.50498;3;115.230185
5800;1.66105;1;70.2909125
5800;2.26135;2;102.2568875
5800;2.47582;3;113.677415
5800;2.63909;4;122.3715425
5799;1.55571;1;64.6815575
5799;2.25847;2;102.1035275
5799;2.67236;3;124.14317
5799;2.94007;4;138.3987275
5796;1.33906;1;53.144945
5796;2.18166;2;98.013395
5796;2.58186;3;119.324045
5796;2.92576;4;137.63672
5792;1.42675;1;57.8144375
5792;2.06254;2;91.670255
5792;2.49961;3;114.9442325
5788;1.28988;1;50.52611
5788;2.14722;2;96.179465
5788;2.54068;3;117.13121
5788;2.83715;4;132.9182375
5717;1.23894;1;47.813555
5717;1.85505;2;80.6214125
5717;2.16547;3;97.1512775
5717;2.40937;4;110.1389525
5678;1.37069;1;54.8292425
5678;2.01476;2;89.12597
5678;2.32597;3;105.6979025
5678;2.59368;4;119.95346
5490;1.47274;1;60.263405
5490;2.22505;2;100.3239125
5490;2.49276;3;114.57947
4263;1.19051;1;45.2346575
4263;1.78003;2;76.6265975
4263;2.24677;3;101.4805025
4262;1.22756;1;47.20757
4262;2.05814;2;91.435955
4262;2.59606;3;120.080195
4257;1.22192;1;46.90724
4257;1.87987;2;81.9430775
4257;2.35657;3;107.3273525
4256;1.36061;1;54.2924825
4256;1.98992;2;87.80324
4256;2.39642;3;109.449365
4226;1.0539;1;37.960175
4226;1.83026;2;79.301345
4226;2.31829;3;105.2889425
4218;1.2616;1;49.0202
4218;1.91618;2;83.876585
4218;2.25745;3;102.0492125
4218;2.49442;4;114.667865
