fishID;age;size
6138;1;53.4734975
6138;2;91.6004975
6138;3;113.4212825
6138;4;125.929175
6138;5;135.5775425
6138;6;143.9260775
6142;1;51.3307175
6142;2;92.0435375
6142;3;116.1892175
6142;4;131.39156
6142;5;141.8929925
6144;1;53.4170525
6144;2;89.5312025
6144;3;109.0036625
6144;4;120.9929
6144;5;131.3234
6146;1;42.2302925
6146;2;88.93214
6146;3;111.5852225
6146;4;126.587345
6146;5;136.819865
6150;1;64.4973125
6150;2;94.77899
6150;3;110.991485
6150;4;121.7985725
6150;5;134.49071
6151;1;48.9137
6151;2;89.0594075
6151;3;111.89993
6151;4;122.9828525
6151;5;134.03063
6151;6;142.1443325
6151;7;150.258035
6153;1;59.0722025
6153;2;97.8041225
6153;3;120.361355
6153;4;132.6189725
6153;5;140.9675075
6153;6;147.761675
6158;1;45.585575
6158;2;89.9816975
6158;3;108.2943725
6158;4;122.20913
6158;5;133.629125
6160;1;70.34363
6160;2;115.377155
6160;3;132.6668975
6160;4;145.261055
6160;5;155.1320075
6160;6;163.826135
6171;1;59.379455
6171;2;100.09973
6171;3;118.0838525
6171;4;131.9927525
6171;5;150.3011675
6171;6;159.6311
6172;1;54.708365
6172;2;91.5291425
6172;3;110.0644025
6172;4;123.4514525
6172;5;131.3228675
6172;6;139.5878
7004;1;67.66622
7004;2;111.7737275
7004;3;127.12304
7004;4;138.543035
7004;5;149.570045
7031;1;54.47087
7031;2;93.10055
7031;3;114.1955375
7031;4;132.2568725
7031;5;144.51449
7036;1;56.4310025
7036;2;96.18905
7036;3;115.56992
7036;4;126.13046
7036;5;133.524755
7039;1;43.8001025
7039;2;81.8845025
7039;3;107.2229825
7039;4;124.26032
7039;5;136.46735
7052;1;43.42043
7052;2;89.561555
7052;3;110.4243725
7052;4;124.24967
7052;5;136.4753375
7054;1;49.9941425
7054;2;82.8962525
7054;3;106.59197
7054;4;125.892965
7054;5;136.125485
8065;1;40.51724
8065;2;71.631215
8065;3;94.07822
8065;4;108.29597
8065;5;117.871385
8069;1;57.3575525
8069;2;92.3672975
8069;3;117.23984
8069;4;129.44048
8069;5;137.7426875
8070;1;48.6139025
8070;2;87.759575
8070;3;108.6777725
8070;4;122.058965
8070;5;133.107275
8070;6;143.527235
8070;7;152.6132825
8092;1;65.7028925
8092;2;105.7096175
8092;3;125.126165
8092;4;138.6798875
8092;5;150.0391775
8094;1;51.08204
8094;2;94.91105
8094;3;122.9540975
8094;4;138.3082025
8094;5;152.1723725
8096;1;46.3955075
8096;2;89.42417
8096;3;110.1938
8096;4;127.1491325
8096;5;139.96907
8096;6;152.6729225
8098;1;48.094715
8098;2;91.1393525
8098;3;114.782885
8098;4;132.1045775
8098;5;143.5788875
8098;6;156.2278925
8105;1;63.324215
8105;2;103.5913325
8105;3;125.07611
8105;4;136.8827
8105;5;145.6215575
8105;6;155.4919775
8105;7;161.8990175
8106;1;39.1130375
8106;2;84.3797975
8106;3;104.0737775
8106;4;115.5480875
8106;5;123.42962
8106;6;131.456525
8106;7;140.5851725
8107;1;42.603575
8107;2;92.217665
8107;3;112.2934475
8107;4;128.8233125
8107;5;141.0303425
8121;1;41.48852
8121;2;78.6170825
8121;3;98.6891375
8121;4;114.0581525
8121;5;123.577655
8126;1;56.5604
8126;2;94.0010075
8126;3;115.679615
8126;4;132.3772175
8126;5;146.202515
8148;1;40.5880625
8148;2;84.0251525
8148;3;109.2166625
8148;4;126.551135
8148;5;138.777335
8148;6;149.01731
8148;7;158.5368125
8149;1;54.0475325
8149;2;93.4354925
8149;3;113.6033975
8149;4;125.4366125
8149;5;132.1386575
8153;1;60.55415
8153;2;104.64089
8153;3;118.555115
8153;4;130.5251825
8153;5;141.267305
8153;6;150.98756
8156;1;60.384815
8156;2;99.34784
8156;3;122.96528
8156;4;137.1388325
8156;5;149.0050625
8170;1;55.538
8170;2;96.3493325
8170;3;118.8378725
8170;4;133.4209175
8170;5;146.432555
8174;1;46.0770725
8174;2;88.2180575
8174;3;109.2581975
8174;4;122.1500225
8174;5;132.2685875
8174;6;140.48666
8176;1;51.541055
8176;2;94.86206
8176;3;119.6568575
8176;4;137.40668
8176;5;147.70736
8177;1;47.29064
8177;2;70.6306475
8177;3;86.1604775
8177;4;100.5241325
8177;5;115.8931475
9198;1;46.93067
9198;2;86.358035
9198;3;111.2028875
9198;4;128.5240475
9198;5;141.565505
9198;6;153.8231225
9207;1;42.8543825
9207;2;83.4298175
9207;3;103.56311
9207;4;117.3436775
9207;5;127.2140975
9214;1;67.42127
9214;2;100.490585
9214;3;117.4182275
9214;4;129.6444275
9214;5;139.0899125
9578;1;59.7431525
9578;2;101.114675
9578;3;122.7751775
9578;4;140.8833725
9578;5;154.3566875
9578;6;163.8351875
