size;age;ID;fishID
2.306120986;1;1;424
2.927951939;2;1;424
2.2569252;1;2;425
2.773200351;2;2;425
1.841199689;1;3;426
2.819864873;2;3;426
3.468381562;3;3;426
1.717880998;1;4;427
2.582706035;2;4;427
3.122749866;3;4;427
1.9874352;1;5;429
2.933572705;2;5;429
1.856127689;1;6;430
2.576684545;2;6;430
3.17374518;3;6;430
1.60280901;1;7;431
2.295174154;2;7;431
1.802178539;1;8;432
2.556073372;2;8;432
1.686796684;1;9;433
2.756684617;2;9;433
3.413237554;3;9;433
1.890846867;1;10;434
2.89351915;2;10;434
3.608467326;3;10;434
2.100602285;1;11;435
3.017570103;2;11;435
1.97559311;1;12;438
2.748636647;2;12;438
2.037964586;1;13;439
2.725030644;2;13;439
2.224468133;1;14;440
2.842368274;2;14;440
1.548449212;1;15;529
2.327227167;2;15;529
2.914718473;3;15;529
3.491931639;4;15;529
3.99668991;5;15;529
1.359639019;1;16;530
2.173797556;2;16;530
2.884659219;3;16;530
3.441317711;4;16;530
4.087707306;5;16;530
1.34833311;1;17;531
2.023736003;2;17;531
2.629515884;3;17;531
3.167200575;4;17;531
3.745055752;5;17;531
1.647976579;1;18;532
2.297961795;2;18;532
2.88967551;3;18;532
3.566801572;4;18;532
2.05078984;1;19;2181
2.602478067;2;19;2181
3.364201427;3;19;2181
3.69756155;4;19;2181
2.091454136;1;20;2182
2.987444221;2;20;2182
3.300482012;3;20;2182
3.571238549;4;20;2182
1.878790693;1;21;2183
2.79489162;2;21;2183
3.381661192;3;21;2183
3.704855989;4;21;2183
1.262304875;1;22;2184
1.93140429;2;22;2184
2.29530333;3;22;2184
2.715161458;4;22;2184
1.917689248;1;23;2185
2.722885259;2;23;2185
3.556841512;3;23;2185
2.362285032;1;24;2186
3.031384447;2;24;2186
3.319577784;3;24;2186
3.566600644;4;24;2186
2.101635891;1;25;2187
2.810632262;2;25;2187
3.289543308;3;25;2187
3.784124811;4;25;2187
2.003441862;1;26;2189
2.878375033;2;26;2189
3.431693067;3;26;2189
3.66390514;4;26;2189
1.578835443;1;27;2190
2.43535206;2;27;2190
3.064550232;3;27;2190
3.531817005;4;27;2190
1.962033481;1;28;2210
2.755166445;2;28;2210
3.521258196;3;28;2210
3.871358577;4;28;2210
2.064305312;1;29;2211
2.795153752;2;29;2211
3.715753597;3;29;2211
1.767725504;1;30;2212
2.550573755;2;30;2212
3.028044797;3;30;2212
3.429984424;4;30;2212
1.745410935;1;31;2213
2.54929019;2;31;2213
3.064846651;3;31;2213
3.541651609;4;31;2213
1.487630671;1;32;2214
2.344950861;2;32;2214
2.808118723;3;32;2214
3.204083688;4;32;2214
3.438791517;5;32;2214
1.489125384;1;33;2215
2.540787315;2;33;2215
3.046803291;3;33;2215
3.597049445;4;33;2215
3.964425307;5;33;2215
1.610392022;1;34;2216
2.242362192;2;34;2216
2.731451166;3;34;2216
3.254352688;4;34;2216
1.853843294;1;35;2217
2.576162264;2;35;2217
3.080500603;3;35;2217
3.496811284;4;35;2217
1.653111275;1;36;2218
2.40221316;2;36;2218
2.857886835;3;36;2218
3.170924626;4;36;2218
3.461497497;5;36;2218
1.893869895;1;37;2219
2.748405264;2;37;2219
3.350149492;3;37;2219
1.853128843;1;38;2220
2.521515396;2;38;2220
3.226014916;3;38;2220
3.633191762;4;38;2220
1.354447676;1;39;2222
2.054648437;2;39;2222
2.404748818;3;39;2222
2.693125893;4;39;2222
1.530107841;1;40;2223
2.271247893;2;40;2223
2.837341947;3;40;2223
3.281835353;4;40;2223
1.73948309;1;41;2224
2.426549149;2;41;2224
2.917259954;3;41;2224
3.394064912;4;41;2224
