size;age;fishID
2.306120986;1;424
2.927951939;2;424
2.2569252;1;425
2.773200351;2;425
1.841199689;1;426
2.819864873;2;426
3.468381562;3;426
1.717880998;1;427
2.582706035;2;427
3.122749866;3;427
1.9874352;1;429
2.933572705;2;429
1.856127689;1;430
2.576684545;2;430
3.17374518;3;430
1.60280901;1;431
2.295174154;2;431
1.802178539;1;432
2.556073372;2;432
1.686796684;1;433
2.756684617;2;433
3.413237554;3;433
1.890846867;1;434
2.89351915;2;434
3.608467326;3;434
2.100602285;1;435
3.017570103;2;435
1.97559311;1;438
2.748636647;2;438
2.037964586;1;439
2.725030644;2;439
2.224468133;1;440
2.842368274;2;440
1.548449212;1;529
2.327227167;2;529
2.914718473;3;529
3.491931639;4;529
3.99668991;5;529
1.359639019;1;530
2.173797556;2;530
2.884659219;3;530
3.441317711;4;530
4.087707306;5;530
1.34833311;1;531
2.023736003;2;531
2.629515884;3;531
3.167200575;4;531
3.745055752;5;531
1.647976579;1;532
2.297961795;2;532
2.88967551;3;532
3.566801572;4;532
2.05078984;1;2181
2.602478067;2;2181
3.364201427;3;2181
3.69756155;4;2181
2.091454136;1;2182
2.987444221;2;2182
3.300482012;3;2182
3.571238549;4;2182
1.878790693;1;2183
2.79489162;2;2183
3.381661192;3;2183
3.704855989;4;2183
1.262304875;1;2184
1.93140429;2;2184
2.29530333;3;2184
2.715161458;4;2184
1.917689248;1;2185
2.722885259;2;2185
3.556841512;3;2185
2.362285032;1;2186
3.031384447;2;2186
3.319577784;3;2186
3.566600644;4;2186
2.101635891;1;2187
2.810632262;2;2187
3.289543308;3;2187
3.784124811;4;2187
2.003441862;1;2189
2.878375033;2;2189
3.431693067;3;2189
3.66390514;4;2189
1.578835443;1;2190
2.43535206;2;2190
3.064550232;3;2190
3.531817005;4;2190
1.962033481;1;2210
2.755166445;2;2210
3.521258196;3;2210
3.871358577;4;2210
2.064305312;1;2211
2.795153752;2;2211
3.715753597;3;2211
1.767725504;1;2212
2.550573755;2;2212
3.028044797;3;2212
3.429984424;4;2212
1.745410935;1;2213
2.54929019;2;2213
3.064846651;3;2213
3.541651609;4;2213
1.487630671;1;2214
2.344950861;2;2214
2.808118723;3;2214
3.204083688;4;2214
3.438791517;5;2214
1.489125384;1;2215
2.540787315;2;2215
3.046803291;3;2215
3.597049445;4;2215
3.964425307;5;2215
1.610392022;1;2216
2.242362192;2;2216
2.731451166;3;2216
3.254352688;4;2216
1.853843294;1;2217
2.576162264;2;2217
3.080500603;3;2217
3.496811284;4;2217
1.653111275;1;2218
2.40221316;2;2218
2.857886835;3;2218
3.170924626;4;2218
3.461497497;5;2218
1.893869895;1;2219
2.748405264;2;2219
3.350149492;3;2219
1.853128843;1;2220
2.521515396;2;2220
3.226014916;3;2220
3.633191762;4;2220
1.354447676;1;2222
2.054648437;2;2222
2.404748818;3;2222
2.693125893;4;2222
1.530107841;1;2223
2.271247893;2;2223
2.837341947;3;2223
3.281835353;4;2223
1.73948309;1;2224
2.426549149;2;2224
2.917259954;3;2224
3.394064912;4;2224
1.344714051;1;2225
2.24394974;2;2225
2.873147913;3;2225
3.480761246;4;2225
1.78608826;1;2226
2.600832125;2;2226
3.27301187;3;2226
1.948596964;1;2227
2.659458627;2;2227
3.33132309;3;2227
3.621165878;4;2227
1.625386746;1;2228
2.582821649;2;2228
3.131814943;3;2228
3.396437361;4;2228
1.652117674;1;2229
2.303486791;2;2229
2.840284132;3;2229
3.325021694;4;2229
1.790442448;1;2230
2.513567619;2;2230
2.946959002;3;2230
1.34833311;1;2221
2.084956816;2;2221
2.508957761;3;2221
2.892003637;4;2221
1.515673359;1;4417
2.463321239;2;4417
3.187398035;3;4417
3.81827766;4;4417
1.598672722;1;4418
2.425228359;2;4418
2.966741434;3;4418
1.511719132;1;4419
2.122115707;2;4419
2.638390858;3;4419
3.07178224;4;4419
3.598720113;5;4419
1.925820284;1;4420
2.843942683;2;4420
3.471792452;3;4420
1.698905842;1;4506
2.725333386;2;4506
1.918793781;1;4507
2.908224497;2;4507
